rad_haplotyper -v SNP_20231004_n540_basic.recode.vcf -r reference.fasta -p popmap_n540_OTU -x 16 -o haps_20231004_n540_OTU.vcf --genepop haps_20231004_n540_OTU.gp
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_18562	3	8	458	540	0.848	FILTERED	0	6	76	Missing data
dDocent_Contig_18571	7	16	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18574	1	2	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_18578	2	3	532	540	0.985	PASSED	3	0	5	
dDocent_Contig_18582	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_18583	8	5	536	540	0.993	PASSED	1	0	3	
dDocent_Contig_18587	1	2	472	540	0.874	FILTERED	0	0	68	Missing data
dDocent_Contig_18589	1	2	519	540	0.961	PASSED	0	0	21	
dDocent_Contig_18592	1	2	500	540	0.926	PASSED	0	0	40	
dDocent_Contig_18594	10	9	454	540	0.841	FILTERED	48	0	38	Missing data
dDocent_Contig_18598	1	2	472	540	0.874	FILTERED	0	0	68	Missing data
dDocent_Contig_1860	2	3	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_18600	1	2	462	540	0.856	FILTERED	0	0	78	Missing data
dDocent_Contig_18601	2	4	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_1861	2	3	521	540	0.965	PASSED	2	1	16	
dDocent_Contig_18617	1	2	502	540	0.930	PASSED	0	0	38	
dDocent_Contig_18618	11	7	531	540	0.983	PASSED	4	4	1	
dDocent_Contig_18619	5	7	516	540	0.956	PASSED	2	0	22	
dDocent_Contig_18621	1	2	474	540	0.878	FILTERED	0	0	66	Missing data
dDocent_Contig_18623	5	5	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_18625	3	4	514	540	0.952	PASSED	4	0	22	
dDocent_Contig_18627	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18628	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_1863	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18636	4	5	504	540	0.933	PASSED	1	20	15	
dDocent_Contig_18639	9	10	506	540	0.937	PASSED	6	9	19	
dDocent_Contig_1864	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18640	3	3	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_18643	5	9	499	540	0.924	PASSED	1	34	6	
dDocent_Contig_18646	11	11	538	540	0.996	PASSED	2	0	0	
dDocent_Contig_18649	3	4	504	540	0.933	PASSED	15	0	21	
dDocent_Contig_18652	3	3	492	540	0.911	PASSED	0	1	47	
dDocent_Contig_18667	3	5	506	540	0.937	PASSED	0	7	27	
dDocent_Contig_1867	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18675	1	2	489	540	0.906	PASSED	0	0	51	
dDocent_Contig_18679	1	2	466	540	0.863	FILTERED	0	0	74	Missing data
dDocent_Contig_18682	1	2	492	540	0.911	PASSED	0	0	48	
dDocent_Contig_18683	6	10	529	540	0.980	PASSED	2	4	5	
dDocent_Contig_18689	2	3	503	540	0.931	PASSED	0	0	37	
dDocent_Contig_1869	2	3	523	540	0.969	PASSED	0	17	0	
dDocent_Contig_18690	8	17	347	540	0.643	FILTERED	5	188	0	Missing data
dDocent_Contig_18691	6	12	457	540	0.846	FILTERED	6	6	71	Missing data
dDocent_Contig_18693	6	6	502	540	0.930	PASSED	0	6	32	
dDocent_Contig_18699	1	2	480	540	0.889	FILTERED	0	0	60	Missing data
dDocent_Contig_18701	1	2	502	540	0.930	PASSED	0	0	38	
dDocent_Contig_18707	2	3	497	540	0.920	PASSED	2	0	41	
dDocent_Contig_18712	3	4	527	540	0.976	PASSED	0	3	10	
dDocent_Contig_18713	2	3	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_18715	4	4	482	540	0.893	FILTERED	1	2	55	Missing data
dDocent_Contig_18718	2	3	538	540	0.996	PASSED	1	0	1	
dDocent_Contig_18721	4	7	530	540	0.981	PASSED	1	6	3	
dDocent_Contig_18727	3	5	488	540	0.904	PASSED	3	16	33	
dDocent_Contig_18734	4	5	459	540	0.850	FILTERED	4	1	76	Missing data
dDocent_Contig_18736	2	3	539	540	0.998	PASSED	1	0	0	
dDocent_Contig_18738	7	8	412	540	0.763	FILTERED	89	0	39	Missing data
dDocent_Contig_18740	1	2	488	540	0.904	PASSED	0	0	52	
dDocent_Contig_18748	1	2	480	540	0.889	FILTERED	0	0	60	Missing data
dDocent_Contig_18752	3	5	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18758	3	4	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_18761	2	3	495	540	0.917	PASSED	43	0	2	
dDocent_Contig_18768	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18769	4	5	539	540	0.998	PASSED	0	1	0	
dDocent_Contig_18771	2	2	465	540	0.861	FILTERED	1	0	74	Missing data
dDocent_Contig_18773	4	5	536	540	0.993	PASSED	1	0	3	
dDocent_Contig_18774	-	-	-	-	-	FILTERED	0	0	0	Complex
dDocent_Contig_18777	4	4	522	540	0.967	PASSED	0	7	11	
dDocent_Contig_1878	2	3	536	540	0.993	PASSED	3	0	1	
dDocent_Contig_18782	3	6	531	540	0.983	PASSED	2	0	7	
dDocent_Contig_18785	3	5	467	540	0.865	FILTERED	60	0	13	Missing data
dDocent_Contig_18787	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18790	4	6	501	540	0.928	PASSED	1	14	24	
dDocent_Contig_18791	2	4	471	540	0.872	FILTERED	0	0	69	Missing data
dDocent_Contig_18792	5	7	459	540	0.850	FILTERED	1	1	79	Missing data
dDocent_Contig_18793	2	4	495	540	0.917	PASSED	0	17	28	
dDocent_Contig_18796	5	6	504	540	0.933	PASSED	0	6	30	
dDocent_Contig_18799	6	10	467	540	0.865	FILTERED	9	2	62	Missing data
dDocent_Contig_1880	1	2	503	540	0.931	PASSED	0	0	37	
dDocent_Contig_18805	3	4	481	540	0.891	FILTERED	1	2	56	Missing data
dDocent_Contig_18806	6	13	520	540	0.963	PASSED	2	0	18	
dDocent_Contig_18807	5	6	503	540	0.931	PASSED	3	2	32	
dDocent_Contig_18810	7	11	469	540	0.869	FILTERED	1	1	69	Missing data
dDocent_Contig_18815	8	17	520	540	0.963	PASSED	5	2	13	
dDocent_Contig_18821	2	3	486	540	0.900	PASSED	0	0	54	
dDocent_Contig_18823	2	3	527	540	0.976	PASSED	0	5	8	
dDocent_Contig_18824	5	6	494	540	0.915	PASSED	16	6	24	
dDocent_Contig_18825	4	4	477	540	0.883	FILTERED	1	0	62	Missing data
dDocent_Contig_18828	1	2	526	540	0.974	PASSED	0	0	14	
dDocent_Contig_18837	2	3	514	540	0.952	PASSED	15	1	10	
dDocent_Contig_18838	3	4	479	540	0.887	FILTERED	3	21	37	Missing data
dDocent_Contig_18847	3	4	532	540	0.985	PASSED	1	0	7	
dDocent_Contig_1885	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_18852	2	2	510	540	0.944	PASSED	0	0	30	
dDocent_Contig_18855	6	9	488	540	0.904	PASSED	4	6	42	
dDocent_Contig_18857	8	12	538	540	0.996	PASSED	0	1	1	
dDocent_Contig_18860	4	5	487	540	0.902	PASSED	2	1	50	
dDocent_Contig_18862	3	3	455	540	0.843	FILTERED	8	2	75	Missing data
dDocent_Contig_18863	4	9	351	540	0.650	FILTERED	1	119	69	Missing data
dDocent_Contig_18864	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_1887	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18871	2	3	470	540	0.870	FILTERED	56	0	14	Missing data
dDocent_Contig_18877	4	8	448	540	0.830	FILTERED	9	1	82	Missing data
dDocent_Contig_1888	3	4	456	540	0.844	FILTERED	0	70	14	Missing data
dDocent_Contig_18882	1	2	516	540	0.956	PASSED	0	0	24	
dDocent_Contig_1889	3	4	434	540	0.804	FILTERED	96	1	9	Missing data
dDocent_Contig_18895	3	4	426	540	0.789	FILTERED	1	37	76	Missing data
dDocent_Contig_18898	3	3	535	540	0.991	PASSED	1	0	4	
dDocent_Contig_1890	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_18902	2	3	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_18903	7	6	443	540	0.820	FILTERED	95	1	1	Missing data
dDocent_Contig_18905	4	6	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_18906	2	3	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_18909	6	6	476	540	0.881	FILTERED	2	1	61	Missing data
dDocent_Contig_18911	7	7	504	540	0.933	PASSED	0	2	34	
dDocent_Contig_18912	4	5	505	540	0.935	PASSED	1	1	33	
dDocent_Contig_18918	2	3	536	540	0.993	PASSED	0	0	4	
dDocent_Contig_18919	2	4	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_18920	3	4	504	540	0.933	PASSED	1	1	34	
dDocent_Contig_18926	6	9	478	540	0.885	FILTERED	0	16	46	Missing data
dDocent_Contig_18930	2	3	514	540	0.952	PASSED	15	2	9	
dDocent_Contig_18935	6	9	522	540	0.967	PASSED	0	0	18	
dDocent_Contig_18937	3	4	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_1894	1	2	525	540	0.972	PASSED	0	0	15	
dDocent_Contig_18943	3	4	425	540	0.787	FILTERED	0	35	80	Missing data
dDocent_Contig_18944	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_18946	2	3	529	540	0.980	PASSED	0	0	11	
dDocent_Contig_18947	1	2	466	540	0.863	FILTERED	0	0	74	Missing data
dDocent_Contig_18950	6	15	478	540	0.885	FILTERED	0	1	61	Missing data
dDocent_Contig_18962	3	3	491	540	0.909	PASSED	1	0	48	
dDocent_Contig_18963	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_18965	3	6	501	540	0.928	PASSED	2	3	34	
dDocent_Contig_18966	7	12	451	540	0.835	FILTERED	2	74	13	Missing data
dDocent_Contig_18969	1	2	525	540	0.972	PASSED	0	0	15	
dDocent_Contig_18973	5	6	458	540	0.848	FILTERED	0	23	59	Missing data
dDocent_Contig_18977	11	7	527	540	0.976	PASSED	4	4	5	
dDocent_Contig_18982	4	6	465	540	0.861	FILTERED	5	0	70	Missing data
dDocent_Contig_18987	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_18989	1	2	506	540	0.937	PASSED	0	0	34	
dDocent_Contig_18992	1	2	526	540	0.974	PASSED	0	0	14	
dDocent_Contig_18994	6	9	461	540	0.854	FILTERED	0	11	68	Missing data
dDocent_Contig_18995	2	4	511	540	0.946	PASSED	0	0	29	
dDocent_Contig_18996	8	11	482	540	0.893	FILTERED	2	32	24	Missing data
dDocent_Contig_19007	2	3	524	540	0.970	PASSED	9	0	7	
dDocent_Contig_19013	3	5	445	540	0.824	FILTERED	1	16	78	Missing data
dDocent_Contig_1902	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_19022	5	6	528	540	0.978	PASSED	2	1	9	
dDocent_Contig_19023	2	3	513	540	0.950	PASSED	0	12	15	
dDocent_Contig_19028	2	2	487	540	0.902	PASSED	1	0	52	
dDocent_Contig_19029	2	3	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_19033	1	2	509	540	0.943	PASSED	0	0	31	
dDocent_Contig_19034	1	2	468	540	0.867	FILTERED	0	0	72	Missing data
dDocent_Contig_19036	2	3	501	540	0.928	PASSED	0	5	34	
dDocent_Contig_1904	4	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19040	1	2	482	540	0.893	FILTERED	0	0	58	Missing data
dDocent_Contig_19045	1	2	477	540	0.883	FILTERED	0	0	63	Missing data
dDocent_Contig_19048	3	4	535	540	0.991	PASSED	1	1	3	
dDocent_Contig_1905	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19052	2	4	527	540	0.976	PASSED	0	9	4	
dDocent_Contig_19054	2	3	514	540	0.952	PASSED	0	1	25	
dDocent_Contig_19055	5	6	356	540	0.659	FILTERED	183	1	0	Missing data
dDocent_Contig_19057	1	2	534	540	0.989	PASSED	0	0	6	
dDocent_Contig_19058	3	5	516	540	0.956	PASSED	0	6	18	
dDocent_Contig_19060	1	2	514	540	0.952	PASSED	0	0	26	
dDocent_Contig_19062	1	2	520	540	0.963	PASSED	0	0	20	
dDocent_Contig_19065	4	6	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_1907	3	4	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19072	11	12	391	540	0.724	FILTERED	91	13	45	Missing data
dDocent_Contig_19075	6	7	529	540	0.980	PASSED	1	1	9	
dDocent_Contig_19079	4	4	513	540	0.950	PASSED	0	1	26	
dDocent_Contig_1908	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19083	2	4	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_19087	3	3	532	540	0.985	PASSED	5	0	3	
dDocent_Contig_19098	4	7	539	540	0.998	PASSED	0	1	0	
dDocent_Contig_191	2	3	530	540	0.981	PASSED	1	0	9	
dDocent_Contig_19101	3	3	539	540	0.998	PASSED	0	1	0	
dDocent_Contig_19113	1	2	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_19115	2	1	1	540	0.002	FILTERED	0	481	58	Missing data
dDocent_Contig_19118	3	4	490	540	0.907	PASSED	0	24	26	
dDocent_Contig_1912	1	2	531	540	0.983	PASSED	0	0	9	
dDocent_Contig_19125	2	4	493	540	0.913	PASSED	0	1	46	
dDocent_Contig_19127	2	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19136	8	6	484	540	0.896	FILTERED	2	47	7	Missing data
dDocent_Contig_19147	3	3	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_19149	3	4	489	540	0.906	PASSED	2	0	49	
dDocent_Contig_19155	1	2	487	540	0.902	PASSED	0	0	53	
dDocent_Contig_19156	3	4	535	540	0.991	PASSED	4	0	1	
dDocent_Contig_19158	5	10	404	540	0.748	FILTERED	0	115	21	Missing data
dDocent_Contig_19159	6	5	512	540	0.948	PASSED	0	0	28	
dDocent_Contig_1916	1	2	513	540	0.950	PASSED	0	0	27	
dDocent_Contig_19163	3	4	476	540	0.881	FILTERED	0	0	64	Missing data
dDocent_Contig_19170	2	3	533	540	0.987	PASSED	0	0	7	
dDocent_Contig_19176	1	2	465	540	0.861	FILTERED	0	0	75	Missing data
dDocent_Contig_19179	1	2	491	540	0.909	PASSED	0	0	49	
dDocent_Contig_19184	4	8	536	540	0.993	PASSED	2	0	2	
dDocent_Contig_19185	4	6	534	540	0.989	PASSED	2	1	3	
dDocent_Contig_19187	2	3	510	540	0.944	PASSED	1	0	29	
dDocent_Contig_1919	3	3	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_19191	15	13	478	540	0.885	FILTERED	4	4	54	Missing data
dDocent_Contig_19192	1	2	482	540	0.893	FILTERED	0	0	58	Missing data
dDocent_Contig_19197	7	8	498	540	0.922	PASSED	1	4	37	
dDocent_Contig_19200	3	4	516	540	0.956	PASSED	1	18	5	
dDocent_Contig_19205	3	4	490	540	0.907	PASSED	2	0	48	
dDocent_Contig_19214	2	4	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19216	4	3	510	540	0.944	PASSED	2	2	26	
dDocent_Contig_1922	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19221	2	3	451	540	0.835	FILTERED	0	69	20	Missing data
dDocent_Contig_19222	3	5	468	540	0.867	FILTERED	0	3	69	Missing data
dDocent_Contig_19225	2	3	519	540	0.961	PASSED	0	2	19	
dDocent_Contig_19231	6	6	532	540	0.985	PASSED	3	4	1	
dDocent_Contig_19233	1	2	528	540	0.978	PASSED	0	0	12	
dDocent_Contig_19235	3	6	423	540	0.783	FILTERED	0	41	76	Missing data
dDocent_Contig_19236	3	5	433	540	0.802	FILTERED	0	77	30	Missing data
dDocent_Contig_19238	6	7	431	540	0.798	FILTERED	4	53	52	Missing data
dDocent_Contig_19241	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19247	2	4	538	540	0.996	PASSED	0	1	1	
dDocent_Contig_19249	11	11	466	540	0.863	FILTERED	3	43	28	Missing data
dDocent_Contig_19251	2	3	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_19253	1	2	529	540	0.980	PASSED	0	0	11	
dDocent_Contig_19255	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19260	6	6	478	540	0.885	FILTERED	0	1	61	Missing data
dDocent_Contig_19261	6	6	473	540	0.876	FILTERED	1	65	1	Missing data
dDocent_Contig_19262	1	2	524	540	0.970	PASSED	0	0	16	
dDocent_Contig_19266	1	2	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_19277	3	6	454	540	0.841	FILTERED	5	44	37	Missing data
dDocent_Contig_19278	2	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19279	7	12	449	540	0.831	FILTERED	5	11	75	Missing data
dDocent_Contig_19282	2	3	475	540	0.880	FILTERED	0	0	65	Missing data
dDocent_Contig_19284	4	4	521	540	0.965	PASSED	0	1	18	
dDocent_Contig_19288	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_1930	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19300	4	5	507	540	0.939	PASSED	0	2	31	
dDocent_Contig_19302	4	9	497	540	0.920	PASSED	3	2	38	
dDocent_Contig_19303	3	6	494	540	0.915	PASSED	7	6	33	
dDocent_Contig_19305	3	5	462	540	0.856	FILTERED	54	1	23	Missing data
dDocent_Contig_19307	2	4	528	540	0.978	PASSED	8	0	4	
dDocent_Contig_19308	1	2	477	540	0.883	FILTERED	0	0	63	Missing data
dDocent_Contig_19309	3	4	521	540	0.965	PASSED	0	0	19	
dDocent_Contig_19311	4	7	516	540	0.956	PASSED	3	1	20	
dDocent_Contig_19319	2	3	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_19322	5	6	511	540	0.946	PASSED	0	11	18	
dDocent_Contig_19323	4	5	478	540	0.885	FILTERED	28	1	33	Missing data
dDocent_Contig_19325	2	3	532	540	0.985	PASSED	1	0	7	
dDocent_Contig_19329	3	4	513	540	0.950	PASSED	22	1	4	
dDocent_Contig_19332	2	4	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_19335	5	5	419	540	0.776	FILTERED	1	34	86	Missing data
dDocent_Contig_19336	2	3	529	540	0.980	PASSED	3	1	7	
dDocent_Contig_19344	3	4	489	540	0.906	PASSED	1	1	49	
dDocent_Contig_19350	2	3	522	540	0.967	PASSED	0	0	18	
dDocent_Contig_19351	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_19352	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_19353	5	6	538	540	0.996	PASSED	0	2	0	
dDocent_Contig_19354	2	3	390	540	0.722	FILTERED	25	86	39	Missing data
dDocent_Contig_19361	3	4	416	540	0.770	FILTERED	70	1	53	Missing data
dDocent_Contig_19368	6	3	12	540	0.022	FILTERED	0	494	34	Missing data
dDocent_Contig_19369	4	6	444	540	0.822	FILTERED	0	50	46	Missing data
dDocent_Contig_19376	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19379	1	2	529	540	0.980	PASSED	0	0	11	
dDocent_Contig_19384	3	4	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19386	1	2	504	540	0.933	PASSED	0	0	36	
dDocent_Contig_19389	1	2	532	540	0.985	PASSED	0	0	8	
dDocent_Contig_19390	8	12	508	540	0.941	PASSED	2	9	21	
dDocent_Contig_19392	7	14	527	540	0.976	PASSED	1	0	12	
dDocent_Contig_19394	1	2	499	540	0.924	PASSED	0	0	41	
dDocent_Contig_19398	2	4	524	540	0.970	PASSED	0	0	16	
dDocent_Contig_19399	2	4	486	540	0.900	PASSED	1	2	51	
dDocent_Contig_19402	4	7	464	540	0.859	FILTERED	8	37	31	Missing data
dDocent_Contig_19409	7	13	424	540	0.785	FILTERED	1	34	81	Missing data
dDocent_Contig_19413	10	31	536	540	0.993	PASSED	0	2	2	
dDocent_Contig_19416	2	3	511	540	0.946	PASSED	0	0	29	
dDocent_Contig_19419	2	3	494	540	0.915	PASSED	0	4	42	
dDocent_Contig_1942	2	3	485	540	0.898	FILTERED	0	2	53	Missing data
dDocent_Contig_19424	3	4	497	540	0.920	PASSED	1	19	23	
dDocent_Contig_19425	6	5	481	540	0.891	FILTERED	0	1	58	Missing data
dDocent_Contig_19432	2	3	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19434	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19437	3	5	533	540	0.987	PASSED	1	0	6	
dDocent_Contig_19439	11	10	411	540	0.761	FILTERED	55	4	70	Missing data
dDocent_Contig_19444	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19448	7	4	438	540	0.811	FILTERED	30	0	72	Missing data
dDocent_Contig_19450	6	7	536	540	0.993	PASSED	1	3	0	
dDocent_Contig_19455	3	7	466	540	0.863	FILTERED	1	4	69	Missing data
dDocent_Contig_19464	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19466	7	7	483	540	0.894	FILTERED	2	1	54	Missing data
dDocent_Contig_19472	1	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19475	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19479	2	3	532	540	0.985	PASSED	4	0	4	
dDocent_Contig_19487	7	5	383	540	0.709	FILTERED	145	1	11	Missing data
dDocent_Contig_19489	2	4	478	540	0.885	FILTERED	5	1	56	Missing data
dDocent_Contig_19491	5	7	497	540	0.920	PASSED	1	30	12	
dDocent_Contig_19494	8	8	484	540	0.896	FILTERED	22	1	33	Missing data
dDocent_Contig_19495	2	3	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19499	6	9	497	540	0.920	PASSED	1	1	41	
dDocent_Contig_19502	1	2	513	540	0.950	PASSED	0	0	27	
dDocent_Contig_19504	4	8	533	540	0.987	PASSED	1	5	1	
dDocent_Contig_19506	1	2	507	540	0.939	PASSED	0	0	33	
dDocent_Contig_19509	3	5	288	540	0.533	FILTERED	0	241	11	Missing data
dDocent_Contig_19510	4	5	533	540	0.987	PASSED	1	3	3	
dDocent_Contig_19515	6	8	533	540	0.987	PASSED	4	2	1	
dDocent_Contig_19521	2	3	537	540	0.994	PASSED	1	0	2	
dDocent_Contig_19522	2	3	510	540	0.944	PASSED	0	0	30	
dDocent_Contig_19524	3	4	471	540	0.872	FILTERED	1	0	68	Missing data
dDocent_Contig_19525	2	2	502	540	0.930	PASSED	0	4	34	
dDocent_Contig_19528	1	2	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_19529	5	7	508	540	0.941	PASSED	3	3	26	
dDocent_Contig_19530	2	3	466	540	0.863	FILTERED	0	1	73	Missing data
dDocent_Contig_19532	2	2	464	540	0.859	FILTERED	0	0	76	Missing data
dDocent_Contig_19533	4	5	463	540	0.857	FILTERED	12	0	65	Missing data
dDocent_Contig_19542	1	2	488	540	0.904	PASSED	0	0	52	
dDocent_Contig_19544	1	2	527	540	0.976	PASSED	0	0	13	
dDocent_Contig_19545	3	5	479	540	0.887	FILTERED	1	1	59	Missing data
dDocent_Contig_19547	1	2	461	540	0.854	FILTERED	0	0	79	Missing data
dDocent_Contig_19548	8	7	472	540	0.874	FILTERED	39	2	27	Missing data
dDocent_Contig_19552	7	8	454	540	0.841	FILTERED	17	3	66	Missing data
dDocent_Contig_19561	2	2	497	540	0.920	PASSED	0	2	41	
dDocent_Contig_19572	3	3	536	540	0.993	PASSED	0	1	3	
dDocent_Contig_19577	3	5	406	540	0.752	FILTERED	78	1	55	Missing data
dDocent_Contig_19581	5	8	499	540	0.924	PASSED	2	34	5	
dDocent_Contig_19590	2	3	521	540	0.965	PASSED	0	6	13	
dDocent_Contig_19596	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19597	7	8	239	540	0.443	FILTERED	86	130	85	Missing data
dDocent_Contig_19598	6	5	375	540	0.694	FILTERED	100	0	65	Missing data
dDocent_Contig_19600	3	3	537	540	0.994	PASSED	0	2	1	
dDocent_Contig_19602	4	5	520	540	0.963	PASSED	0	0	20	
dDocent_Contig_19606	5	10	484	540	0.896	FILTERED	2	0	54	Missing data
dDocent_Contig_19609	1	2	519	540	0.961	PASSED	0	0	21	
dDocent_Contig_19611	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19613	2	2	501	540	0.928	PASSED	0	0	39	
dDocent_Contig_19614	2	3	522	540	0.967	PASSED	1	0	17	
dDocent_Contig_19616	2	4	531	540	0.983	PASSED	0	7	2	
dDocent_Contig_19621	2	3	536	540	0.993	PASSED	3	0	1	
dDocent_Contig_19629	4	8	455	540	0.843	FILTERED	10	3	72	Missing data
dDocent_Contig_19631	2	2	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_19633	3	4	525	540	0.972	PASSED	2	10	3	
dDocent_Contig_19635	8	10	535	540	0.991	PASSED	0	4	1	
dDocent_Contig_19637	3	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_19643	4	5	530	540	0.981	PASSED	5	3	2	
dDocent_Contig_19645	2	3	506	540	0.937	PASSED	0	1	33	
dDocent_Contig_19646	4	8	475	540	0.880	FILTERED	1	63	1	Missing data
dDocent_Contig_19647	6	12	496	540	0.919	PASSED	0	0	44	
dDocent_Contig_19651	6	18	481	540	0.891	FILTERED	2	39	18	Missing data
dDocent_Contig_19655	2	3	498	540	0.922	PASSED	18	0	24	
dDocent_Contig_19658	1	2	462	540	0.856	FILTERED	0	0	78	Missing data
dDocent_Contig_19660	12	13	465	540	0.861	FILTERED	1	59	15	Missing data
dDocent_Contig_19663	7	11	379	540	0.702	FILTERED	5	99	57	Missing data
dDocent_Contig_19670	1	2	483	540	0.894	FILTERED	0	0	57	Missing data
dDocent_Contig_19674	2	3	495	540	0.917	PASSED	0	13	32	
dDocent_Contig_19679	3	4	500	540	0.926	PASSED	1	0	39	
dDocent_Contig_19681	8	10	430	540	0.796	FILTERED	4	78	28	Missing data
dDocent_Contig_19687	8	7	468	540	0.867	FILTERED	1	0	71	Missing data
dDocent_Contig_19695	3	5	505	540	0.935	PASSED	3	3	29	
dDocent_Contig_19696	2	3	539	540	0.998	PASSED	0	0	1	
dDocent_Contig_1970	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19708	7	13	482	540	0.893	FILTERED	0	20	38	Missing data
dDocent_Contig_19711	5	4	536	540	0.993	PASSED	1	2	1	
dDocent_Contig_19716	1	2	540	540	1.000	PASSED	0	0	0	
dDocent_Contig_19721	2	3	498	540	0.922	PASSED	1	0	41	
dDocent_Contig_19724	5	6	515	540	0.954	PASSED	1	2	22	
dDocent_Contig_19728	1	2	508	540	0.941	PASSED	0	0	32	
dDocent_Contig_19730	3	7	529	540	0.980	PASSED	0	10	1	
dDocent_Contig_19736	1	2	493	540	0.913	PASSED	0	0	47	
dDocent_Contig_19739	6	6	537	540	0.994	PASSED	0	0	3	
dDocent_Contig_19740	3	5	529	540	0.980	PASSED	1	0	10	
dDocent_Contig_19744	3	6	521	540	0.965	PASSED	0	3	16	
dDocent_Contig_19763	1	2	513	540	0.950	PASSED	0	0	27	
dDocent_Contig_19769	1	2	538	540	0.996	PASSED	0	0	2	
dDocent_Contig_19770	3	4	533	540	0.987	PASSED	0	4	3	
dDocent_Contig_19774	1	2	535	540	0.991	PASSED	0	0	5	
dDocent_Contig_19778	3	6	489	540	0.906	PASSED	3	5	43	
dDocent_Contig_19779	3	4	537	540	0.994	PASSED	0	2	1	
dDocent_Contig_19786	1	2	523	540	0.969	PASSED	0	0	17	
